#ra	dec	l	b	pos_err	rm	rm_err	rm_width	rm_width_err	complex_flag	complex_test	rm_method	ionosphere	Ncomp	stokesI	stokesI_err	spectral_index	spectral_index_err	reffreq_I	polint	polint_err	pol_bias	flux_type	fracpol	fracpol_err	polangle	polangle_err	reffreq_pol	stokesQ	stokesQ_err	stokesU	stokesU_err	derot_polangle	derot_polangle_err	stokesV	stokesV_err	beam_maj	beam_min	beam_pa	reffreq_beam	minfreq	maxfreq	channelwidth	Nchan	noise_chan	telescope	int_time	epoch	interval	leakage	beamdist	catalog	dataref	cat_id	id	type	flagA_name	flagA_value	flagB_name	flagB_value	flagC_name	flagC_value	notes
287.25416666666666	16.0	49.75	3.75	nan	451.0	10.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
288.0829166666667	16.0	49.77	2.86	nan	751.0	8.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
288.95708333333334	16.0	50.04	2.06	nan	482.0	7.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
288.5604166666667	16.0	50.28	2.61	nan	556.0	8.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
290.13458333333335	16.0	50.82	1.19	nan	543.0	6.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
290.5158333333334	16.0	50.94	0.84	nan	466.0	9.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
293.2766666666667	14.0	50.95	-2.18	nan	186.0	15.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
292.72	15.0	51.22	-1.42	nan	196.0	22.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
294.27000000000004	15.0	52.04	-2.67	nan	1.0	8.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
289.66375	19.0	53.54	3.13	nan	228.0	3.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
289.58625	19.0	53.7	3.3	nan	161.0	5.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
289.8745833333333	20.0	53.96	3.13	nan	114.0	10.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
291.15374999999995	20.0	54.95	2.3	nan	234.0	6.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
289.7858333333333	21.0	55.34	3.95	nan	212.0	3.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
295.92291666666665	18.0	55.4	-2.58	nan	-76.0	8.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
291.4979166666667	21.0	55.56	2.26	nan	206.0	15.0	nan	nan	U		Unknown	Unknown	1	1.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
293.35583333333335	20.0	55.64	0.32	nan	152.0	8.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
293.79333333333335	20.0	56.08	0.1	nan	67.0	12.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
294.4770833333333	20.0	56.18	-0.57	nan	96.0	15.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
296.3745833333333	19.0	56.59	-2.39	nan	-227.0	8.0	nan	nan	U		Unknown	Unknown	1	0.0	nan	nan	nan	nan	0.0	nan	Unknown	Unknown	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-2147483648	nan	Unknown	nan	nan	nan	nan	nan	2008ApJ...688.1029M			-2147483648								
